Study_ID,Author_year,Publication_year,Country_firstAuthor,Effect_ID,Species_common,Species_Scientific,Invertebrate_vertebrate,Fish_mollusc,Moisture_loss_in_percent,PFAS_type,PFAS_carbon_chain,linear_total,Choice_of_9,Cooking_method,Cooking_Category,Comments_cooking,Temperature_in_Celsius,Length_cooking_time_in_s,Water,Oil,Oil_type,Volume_liquid_ml,Volume_liquid_ml_0,Ratio_liquid_fish,Weigh_g_sample,Cohort_ID,Cohort_comment,Cohort_comment_2,Nc,Pooled_Nc,Unit_PFAS_conc,Mc,Mc_comment,Sc,sd,Sc_technical_biological,Ne,Pooled_Ne,Me,Me_comment,Se,Se_technical_biological,If_technical_how_many,Unit_LOD_LOQ,LOD,LOQ,Design,DataSource,Raw_data_provided,General_comments,checked
F003,Bhavsar_2014,2014,Canada,E121,Walleye,Sander vitreus,vertebrate,freshwater fish,18.71,6:8PFPIA,14,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.05831522,188.63,C014,Shared control,NA,5,5,ng/g,0.067,NA,0.01,sd,biological,5,5,0.063,NA,0.017,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E122,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFNA,9,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.063,NA,0.021,sd,biological,5,5,0.074,NA,0.014,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E123,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFDA,10,,Yes,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.248,NA,0.04,sd,biological,5,5,0.338,NA,0.098,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E124,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFUnDA,11,,Yes,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.239,NA,0.04,sd,biological,5,5,0.348,NA,0.102,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E125,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFDoDA,12,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.105,NA,0.019,sd,biological,5,5,0.144,NA,0.037,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E126,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFTrA,13,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.149,NA,0.02,sd,biological,5,5,0.217,NA,0.041,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E127,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFTA,14,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.069,NA,0.009,sd,biological,5,5,0.094,NA,0.025,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E128,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFHxS,6,,Yes,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.08,NA,0.025,sd,biological,5,5,0.088,NA,0.036,biological,NA,ng/g,Probably <0.006,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E129,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFOS,8,,Yes,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,36.79,NA,1.624,sd,biological,5,5,52.69,NA,14.62,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E130,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,PFDS,10,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.106,NA,0.024,sd,biological,5,5,0.189,NA,0.08,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E131,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,6:6PFPIA,12,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.026,NA,0.006,sd,biological,5,5,0.04,NA,0.008,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E132,Walleye,Sander vitreus,vertebrate,freshwater fish,24.09,6:8PFPIA,14,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.506,0.506,0.002845734,177.81,C015,Shared control,NA,5,5,ng/g,0.067,NA,0.01,sd,biological,5,5,0.087,NA,0.012,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E133,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFNA,9,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.063,NA,0.021,sd,biological,5,5,0.067,NA,0.015,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E134,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFDA,10,,Yes,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.248,NA,0.04,sd,biological,5,5,0.299,NA,0.072,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E135,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFUnDA,11,,Yes,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.239,NA,0.04,sd,biological,5,5,0.307,NA,0.076,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E136,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFDoDA,12,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.105,NA,0.019,sd,biological,5,5,0.129,NA,0.049,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E137,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFTrA,13,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.149,NA,0.02,sd,biological,5,5,0.179,NA,0.054,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E138,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFTA,14,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.069,NA,0.009,sd,biological,5,5,0.087,NA,0.034,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E139,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFHxS,6,,Yes,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.08,NA,0.025,sd,biological,5,5,0.083,NA,0.027,biological,NA,ng/g,Probably <0.006,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E140,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFOS,8,,Yes,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,36.79,NA,1.624,sd,biological,5,5,44.51,NA,7.718,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E141,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,PFDS,10,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.106,NA,0.024,sd,biological,5,5,0.157,NA,0.066,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E142,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,6:6PFPIA,12,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.026,NA,0.006,sd,biological,5,5,0.029,NA,0.004,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E143,Walleye,Sander vitreus,vertebrate,freshwater fish,14.45,6:8PFPIA,14,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.061583249,178.62,C016,Shared control,NA,5,5,ng/g,0.067,NA,0.01,sd,biological,5,5,0.077,NA,0.005,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F005,DelGobbo_2008,2008,Canada,E144,Catfish,Ictalurus punctatus,vertebrate,freshwater fish,NA,PFOS,8,linear,Yes,Frying,oil-based,NA,163,900,No,Yes,sesame oil,,,0.0625,,C017,Shared control,NA,19,1,ng/g,1.565725219,NA,NA,Not available because sample size is one.,technical,19,1,0.9,NA,Not provided,technical,4,ng/g,0.364605839,1.093817517,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",ML
F005,DelGobbo_2008,2008,Canada,E145,Grouper,Epinephelus itajara,vertebrate,marine fish,NA,PFOA,8,NA,Yes,Frying,oil-based,NA,163,900,No,Yes,sesame oil,,,0.0625,,C018,Shared control,NA,14,1,ng/g,1.36,NA,NA,Not available because sample size is one.,technical,14,1,0.016989626,LOD,Not provided,technical,4,ng/g,0.016989626,0.050968879,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E146,Grouper,Epinephelus itajara,vertebrate,marine fish,NA,PFOS,8,linear,Yes,Frying,oil-based,NA,163,900,No,Yes,sesame oil,,,0.0625,,C018,Shared control,NA,14,1,ng/g,0.371585648,LOD,NA,Not available because sample size is one.,technical,14,1,0.47,NA,Not provided,technical,4,ng/g,0.371585648,1.114756944,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E147,Monkfish,Lophius americanus,vertebrate,marine fish,NA,PFOA,8,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C019,Shared control,NA,9,1,ng/g,0.077496939,LOD,NA,Not available because sample size is one.,technical,9,1,0.06,NA,Not provided,technical,4,ng/g,0.077496939,0.232490816,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E148,Monkfish,Lophius americanus,vertebrate,marine fish,NA,PFNA,9,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C019,Shared control,NA,9,1,ng/g,1.34,NA,NA,Not available because sample size is one.,technical,9,1,0.003212028,LOD,Not provided,technical,4,ng/g,0.003212028,0.009636084,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E149,Monkfish,Lophius americanus,vertebrate,marine fish,NA,PFUnDA,11,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C019,Shared control,NA,9,1,ng/g,0.027020324,LOD,NA,Not available because sample size is one.,technical,9,1,0.39,NA,Not provided,technical,4,ng/g,0.027020324,0.081060971,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E150,Monkfish,Lophius americanus,vertebrate,marine fish,NA,PFOS,8,linear,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C019,Shared control,NA,9,1,ng/g,1.34,NA,NA,Not available because sample size is one.,technical,9,1,0.22,NA,Not provided,technical,4,ng/g,0.233373227,0.70011968,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E151,Octopus,Bathypolypus arcticus,invertebrate,mollusca,NA,PFOA,8,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C020,Shared control,NA,15,1,ng/g,0.78,NA,NA,Not available because sample size is one.,technical,15,1,0.06,NA,Not provided,technical,3,ng/g,0.026125853,0.07837756,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E152,Octopus,Bathypolypus arcticus,invertebrate,mollusca,NA,PFNA,9,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C020,Shared control,NA,15,1,ng/g,1.29,NA,NA,Not available because sample size is one.,technical,15,1,0.026125853,LOD,Not provided,technical,3,ng/g,0.026125853,0.07837756,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E153,Octopus,Bathypolypus arcticus,invertebrate,mollusca,NA,PFDA,10,NA,No,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C020,Shared control,NA,15,1,ng/g,1.55,NA,NA,Not available because sample size is one.,technical,15,1,0.012087592,LOD,Not provided,technical,3,ng/g,0.012087592,0.036262776,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E154,Octopus,Bathypolypus arcticus,invertebrate,mollusca,NA,PFUnDA,11,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C020,Shared control,NA,15,1,ng/g,1.88,NA,NA,Not available because sample size is one.,technical,15,1,1.59,NA,Not provided,technical,3,ng/g,0.023403463,0.07021039,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E155,Octopus,Bathypolypus arcticus,invertebrate,mollusca,NA,PFTA,14,NA,No,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C020,Shared control,NA,15,1,ng/g,2.61,NA,NA,Not available because sample size is one.,technical,15,1,0.007194278,LOD,Not provided,technical,3,ng/g,0.007194278,0.021582834,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E156,Octopus,Bathypolypus arcticus,invertebrate,mollusca,NA,PFOS,8,linear,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C020,Shared control,NA,15,1,ng/g,0.508616305,LOD,NA,Not available because sample size is one.,technical,15,1,0.23,NA,Not provided,technical,3,ng/g,0.508616305,1.525848915,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E157,Red snapper,Lutjanus campechanus,vertebrate,marine fish,NA,PFOS,8,linear,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C021,Shared control,NA,19,1,ng/g,1.46,NA,NA,Not available because sample size is one.,technical,19,1,0.21,NA,Not provided,technical,4,ng/g,0.335745729,1.007237187,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E158,Red snapper,Lutjanus campechanus,vertebrate,marine fish,NA,PFOS,8,linear,Yes,Frying,oil-based,NA,163,900,No,Yes,sesame oil,,,0.0625,,C021,Shared control,NA,19,1,ng/g,1.46,NA,NA,Not available because sample size is one.,technical,19,1,0.78,NA,Not provided,technical,4,ng/g,0.212707733,0.6381232,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E159,Sea squirt,Diplosoma listerianum,vertebrate,tunicata,NA,PFOA,8,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C022,Shared control,NA,22,1,ng/g,1.58,NA,NA,Not available because sample size is one.,technical,22,1,1.59,NA,Not provided,technical,3,ng/g,0.030799263,0.092397789,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E160,Sea squirt,Diplosoma listerianum,vertebrate,tunicata,NA,PFNA,9,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C022,Shared control,NA,22,1,ng/g,1.32,NA,NA,Not available because sample size is one.,technical,22,1,0.96,NA,Not provided,technical,3,ng/g,0.00466163,0.013984889,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E161,Skate,Amblyraja hyperborea,vertebrate,rays,NA,PFNA,9,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C023,Shared control,NA,14,1,ng/g,1.09,NA,NA,Not available because sample size is one.,technical,14,1,0.002770915,LOD,Not provided,technical,4,ng/g,0.002770915,0.008312745,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E162,Skate,Amblyraja hyperborea,vertebrate,rays,NA,PFUnDA,11,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C023,Shared control,NA,14,1,ng/g,1.55,NA,NA,Not available because sample size is one.,technical,14,1,1.35,NA,Not provided,technical,4,ng/g,0.012033653,0.03610096,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E163,Skate,Amblyraja hyperborea,vertebrate,rays,NA,PFDoDA,12,NA,No,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C023,Shared control,NA,14,1,ng/g,1.33,NA,NA,Not available because sample size is one.,technical,14,1,0.025572815,LOD,Not provided,technical,4,ng/g,0.025572815,0.076718446,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E164,Skate,Amblyraja hyperborea,vertebrate,rays,NA,PFTA,14,NA,No,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C023,Shared control,NA,14,1,ng/g,0.67,NA,NA,Not available because sample size is one.,technical,14,1,0.00701744,LOD,Not provided,technical,4,ng/g,0.00701744,0.021052319,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E165,Skate,Amblyraja hyperborea,vertebrate,rays,NA,PFOS,8,linear,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C023,Shared control,NA,14,1,ng/g,1.51,NA,NA,Not available because sample size is one.,technical,14,1,0.88,NA,Not provided,technical,4,ng/g,0.364216663,1.092649988,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E166,Yellow croaker,Larimichthys polyactis,vertebrate,marine fish,NA,PFUnDA,11,NA,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C024,Shared control,NA,35,1,ng/g,1.57,NA,NA,Not available because sample size is one.,technical,35,1,0.017904207,LOD,Not provided,technical,4,ng/g,0.017904207,0.05371262,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E167,Yellow croaker,Larimichthys polyactis,vertebrate,marine fish,NA,PFOS,8,linear,Yes,Boiling,water-based,NA,100,420,Yes,No,NA,,,30,,C024,Shared control,NA,35,1,ng/g,1.68,NA,NA,Not available because sample size is one.,technical,35,1,0.89,NA,Not provided,technical,4,ng/g,0.376885418,1.130656253,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E168,Yellow croaker,Larimichthys polyactis,vertebrate,marine fish,NA,PFUnDA,11,NA,Yes,Frying,oil-based,NA,163,900,No,Yes,sesame oil,,,0.0625,,C025,Shared control,NA,35,1,ng/g,1.57,NA,NA,Not available because sample size is one.,technical,35,1,2.11,NA,Not provided,technical,4,ng/g,0.016586028,0.049758083,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F005,DelGobbo_2008,2008,Canada,E169,Yellow croaker,Larimichthys polyactis,vertebrate,marine fish,NA,PFOS,8,linear,Yes,Frying,oil-based,NA,163,900,No,Yes,sesame oil,,,0.0625,,C025,Shared control,NA,35,1,ng/g,1.68,NA,NA,Not available because sample size is one.,technical,35,1,0.68,NA,Not provided,technical,4,ng/g,0.392175529,1.176526586,Dependent,Table 3,Yes,"Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",
F006,Hu_2020,2020,China,E170,Grass carp,Ctenopharyngodon idell,vertebrate,freshwater fish,14.38,PFBA,3,,No,Steaming,water-based,on a stainless-steel plate in a steamer,100,480,Yes,No,NA,NA,NA,NA,70,C026,Shared control,NA,5,5,ng/g,6.961942257,NA,7.419390729,sd,biological,5,5,5.341207349,NA,1.688925302,biological,Not specified,ng/g,Not provided,12.2,Dependent,Figure 3,No,"We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.",ML
F006,Hu_2020,2020,China,E171,Grass carp,Ctenopharyngodon idell,vertebrate,freshwater fish,14.38,PFOA,8,,Yes,Steaming,water-based,on a stainless-steel plate in a steamer,100,480,Yes,No,NA,NA,NA,NA,70,C026,Shared control,NA,5,5,ng/g,0.209841009,NA,0.15603319,sd,biological,5,5,0.267406798,NA,0.08,biological,Not specified,ng/g,Not provided,0.226,Dependent,Figure 3,No,"We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.",
F006,Hu_2020,2020,China,E172,Grass carp,Ctenopharyngodon idell,vertebrate,freshwater fish,14.38,PFBS,4,,Yes,Steaming,water-based,on a stainless-steel plate in a steamer,100,480,Yes,No,NA,NA,NA,NA,70,C026,Shared control,NA,5,5,ng/g,24.87534626,NA,23.98897534,sd,biological,5,5,23.98012077,NA,26.845,biological,Not specified,ng/g,Not provided,1.01,Dependent,Figure 3,No,"We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.",
F006,Hu_2020,2020,China,E173,Grass carp,Ctenopharyngodon idell,vertebrate,freshwater fish,14.38,PFOS,8,,Yes,Steaming,water-based,on a stainless-steel plate in a steamer,100,480,Yes,No,NA,NA,NA,NA,70,C026,Shared control,NA,5,5,ng/g,86.68903803,NA,39.45920272,sd,biological,5,5,122.413311,NA,62.469,biological,Not specified,ng/g,Not provided,1.57,Dependent,Figure 3,No,"We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.",
F006,Hu_2020,2020,China,E174,Grass carp,Ctenopharyngodon idell,vertebrate,freshwater fish,14.38,PFHpA,7,,No,Steaming,water-based,on a stainless-steel plate in a steamer,100,480,Yes,No,NA,NA,NA,NA,70,C026,Shared control,NA,5,5,ng/g,24.29805616,NA,30.61298349,sd,biological,5,5,55.39956803,NA,55.4,biological,Not specified,ng/g,Not provided,0.47,Dependent,Figure 3,No,"We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.",
F006,Hu_2020,2020,China,E175,Grass carp,Ctenopharyngodon idell,vertebrate,freshwater fish,14.38,PFDoDA,12,,No,Steaming,water-based,on a stainless-steel plate in a steamer,100,480,Yes,No,NA,NA,NA,NA,70,C026,Shared control,NA,5,5,ng/g,1.568030973,NA,0.559953818,sd,biological,5,5,2.267699115,NA,1.533,biological,Not specified,ng/g,Not provided,0.093,Dependent,Figure 3,No,"We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.",
