"Study_ID","Author_year","Publication_year","Country_firstAuthor","Effect_ID","Species_common","Species_Scientific","Invertebrate_vertebrate","Weight_sample_g","PFAS_type","PFAS_carbon_chain","linear_total","Choice_of_9","Cooking_method","Cooking_Category","Comments_cooking","Temperature_in_Celsius","Length_cooking_time_in_s","Water","Oil","Oil_type","Volume_liquid_ml","Cohort_ID","Cohort_comment","Nc","Pooled_Nc","Unit_PFAS_conc","Mc","Mc_comment","Sc","sd","Sc_technical_biological","Ne","Pooled_Ne","Me","Me_comment","Se","Se_technical_biological","If_technical_how_many","Unit_LOD_LOQ","LOD","LOQ","Design","DataSource","Raw_data_provided","General_comments","checked"
"F003","Bhavsar_2014",2014,"Canada","E116","Walleye","Sander vitreus","vertebrate",NA,"PFTA",14,NA,"No","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C014","NA",5,5,"ng/g",0.069,"NA",0.009,"sd","biological",5,5,0.093,"NA",0.023,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E117","Walleye","Sander vitreus","vertebrate",NA,"PFHxS",6,NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C014","NA",5,5,"ng/g",0.08,"NA",0.025,"sd","biological",5,5,0.098,"NA",0.034,"biological",NA,"ng/g","Probably <0.006","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E118","Walleye","Sander vitreus","vertebrate",NA,"PFOS",8,NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C014","NA",5,5,"ng/g",36.79,"NA",1.624,"sd","biological",5,5,45.09,"NA",3.709,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E119","Walleye","Sander vitreus","vertebrate",NA,"PFDS",10,NA,"No","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C014","NA",5,5,"ng/g",0.106,"NA",0.024,"sd","biological",5,5,0.178,"NA",0.094,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E120","Walleye","Sander vitreus","vertebrate",NA,"6:6PFPIA",12,NA,"No","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C014","NA",5,5,"ng/g",0.026,"NA",0.006,"sd","biological",5,5,0.035,"NA",0.006,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E121","Walleye","Sander vitreus","vertebrate",NA,"6:8PFPIA",14,NA,"No","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C014","NA",5,5,"ng/g",0.067,"NA",0.01,"sd","biological",5,5,0.063,"NA",0.017,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E122","Walleye","Sander vitreus","vertebrate",NA,"PFNA",9,NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.063,"NA",0.021,"sd","biological",5,5,0.074,"NA",0.014,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E123","Walleye","Sander vitreus","vertebrate",NA,"PFDA",10,NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.248,"NA",0.04,"sd","biological",5,5,0.338,"NA",0.098,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E124","Walleye","Sander vitreus","vertebrate",NA,"PFUnDA",11,NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.239,"NA",0.04,"sd","biological",5,5,0.348,"NA",0.102,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E125","Walleye","Sander vitreus","vertebrate",NA,"PFDoDA",12,NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.105,"NA",0.019,"sd","biological",5,5,0.144,"NA",0.037,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E126","Walleye","Sander vitreus","vertebrate",NA,"PFTrA",13,NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.149,"NA",0.02,"sd","biological",5,5,0.217,"NA",0.041,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E127","Walleye","Sander vitreus","vertebrate",NA,"PFTA",14,NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.069,"NA",0.009,"sd","biological",5,5,0.094,"NA",0.025,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E128","Walleye","Sander vitreus","vertebrate",NA,"PFHxS",6,NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.08,"NA",0.025,"sd","biological",5,5,0.088,"NA",0.036,"biological",NA,"ng/g","Probably <0.006","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E129","Walleye","Sander vitreus","vertebrate",NA,"PFOS",8,NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",36.79,"NA",1.624,"sd","biological",5,5,52.69,"NA",14.62,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E130","Walleye","Sander vitreus","vertebrate",NA,"PFDS",10,NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.106,"NA",0.024,"sd","biological",5,5,0.189,"NA",0.08,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E131","Walleye","Sander vitreus","vertebrate",NA,"6:6PFPIA",12,NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.026,"NA",0.006,"sd","biological",5,5,0.04,"NA",0.008,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E132","Walleye","Sander vitreus","vertebrate",NA,"6:8PFPIA",14,NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","canola oil",11,"C015","NA",5,5,"ng/g",0.067,"NA",0.01,"sd","biological",5,5,0.087,"NA",0.012,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E133","Walleye","Sander vitreus","vertebrate",NA,"PFNA",9,NA,"No","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.063,"NA",0.021,"sd","biological",5,5,0.067,"NA",0.015,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E134","Walleye","Sander vitreus","vertebrate",NA,"PFDA",10,NA,"Yes","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.248,"NA",0.04,"sd","biological",5,5,0.299,"NA",0.072,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E135","Walleye","Sander vitreus","vertebrate",NA,"PFUnDA",11,NA,"Yes","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.239,"NA",0.04,"sd","biological",5,5,0.307,"NA",0.076,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E136","Walleye","Sander vitreus","vertebrate",NA,"PFDoDA",12,NA,"No","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.105,"NA",0.019,"sd","biological",5,5,0.129,"NA",0.049,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E137","Walleye","Sander vitreus","vertebrate",NA,"PFTrA",13,NA,"No","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.149,"NA",0.02,"sd","biological",5,5,0.179,"NA",0.054,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E138","Walleye","Sander vitreus","vertebrate",NA,"PFTA",14,NA,"No","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.069,"NA",0.009,"sd","biological",5,5,0.087,"NA",0.034,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E139","Walleye","Sander vitreus","vertebrate",NA,"PFHxS",6,NA,"Yes","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.08,"NA",0.025,"sd","biological",5,5,0.083,"NA",0.027,"biological",NA,"ng/g","Probably <0.006","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E140","Walleye","Sander vitreus","vertebrate",NA,"PFOS",8,NA,"Yes","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",36.79,"NA",1.624,"sd","biological",5,5,44.51,"NA",7.718,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E141","Walleye","Sander vitreus","vertebrate",NA,"PFDS",10,NA,"No","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.106,"NA",0.024,"sd","biological",5,5,0.157,"NA",0.066,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E142","Walleye","Sander vitreus","vertebrate",NA,"6:6PFPIA",12,NA,"No","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.026,"NA",0.006,"sd","biological",5,5,0.029,"NA",0.004,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E143","Walleye","Sander vitreus","vertebrate",NA,"6:8PFPIA",14,NA,"No","Frying","oil-based","NA",175,600,"No","Yes","canola oil",11,"C016","NA",5,5,"ng/g",0.067,"NA",0.01,"sd","biological",5,5,0.077,"NA",0.005,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F005","DelGobbo_2008",2008,"Canada","E144","Catfish","Ictalurus punctatus","vertebrate",1013.14,"PFOS",8,"linear","Yes","Frying","oil-based","NA",163,900,"No","Yes","sesame oil",68,"C017","NA",19,1,"ng/g",1.56572521915217,"NA",NA,"Not available because sample size is one.","technical",19,1,0.898737423190304,"NA",NA,"technical",4,"ng/g","0.3646058391","1.093817517","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species","ML"
"F005","DelGobbo_2008",2008,"Canada","E145","Grouper","Epinephelus itajara","vertebrate",971.22,"PFOA",8,"NA","Yes","Frying","oil-based","NA",163,900,"No","Yes","sesame oil",66,"C018","NA",14,1,"ng/g",1.36,"NA",NA,"Not available because sample size is one.","technical",14,1,0.0169896261823275,"LOD",NA,"technical",4,"ng/g","0.01698962618","0.05096887855","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E146","Grouper","Epinephelus itajara","vertebrate",971.22,"PFOS",8,"linear","Yes","Frying","oil-based","NA",163,900,"No","Yes","sesame oil",66,"C018","NA",14,1,"ng/g",0.371585648060642,"LOD",NA,"Not available because sample size is one.","technical",9,1,0.47,"NA",NA,"technical",4,"ng/g","0.3715856481","1.114756944","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E147","Monkfish","Lophius americanus","vertebrate",2199.19,"PFOA",8,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",29520,"C019","NA",9,1,"ng/g",0.0774969385165621,"LOD",NA,"Not available because sample size is one.","technical",9,1,0.06,"NA",NA,"technical",4,"ng/g","0.07749693852","0.2324908155","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E148","Monkfish","Lophius americanus","vertebrate",2199.19,"PFNA",9,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",29520,"C019","NA",9,1,"ng/g",1.34,"NA",NA,"Not available because sample size is one.","technical",9,1,0.00321202810041537,"LOD",NA,"technical",4,"ng/g","0.0032120281","0.009636084301","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E149","Monkfish","Lophius americanus","vertebrate",2199.19,"PFUnDA",11,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",29520,"C019","NA",9,1,"ng/g",0.0270203235729541,"LOD",NA,"Not available because sample size is one.","technical",9,1,0.39,"NA",NA,"technical",4,"ng/g","0.02702032357","0.08106097072","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E150","Monkfish","Lophius americanus","vertebrate",2199.19,"PFOS",8,"linear","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",29520,"C019","NA",9,1,"ng/g",1.34,"NA",NA,"Not available because sample size is one.","technical",9,1,0.22,"NA",NA,"technical",4,"ng/g","0.2333732266","0.7001196799","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E151","Octopus","Bathypolypus arcticus","invertebrate",1924,"PFOA",8,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",57719,"C020","NA",15,1,"ng/g",0.78,"NA",NA,"Not available because sample size is one.","technical",15,1,0.06,"NA",NA,"technical",3,"ng/g","0.02612585327","0.0783775598","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E152","Octopus","Bathypolypus arcticus","invertebrate",1924,"PFNA",9,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",57719,"C020","NA",15,1,"ng/g",1.29,"NA",NA,"Not available because sample size is one.","technical",15,1,0.0261258532671477,"LOD",NA,"technical",3,"ng/g","0.02612585327","0.0783775598","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E153","Octopus","Bathypolypus arcticus","invertebrate",1924,"PFDA",10,"NA","No","Boiling","water-based","NA",100,420,"Yes","No","NA",57719,"C020","NA",15,1,"ng/g",1.55,"NA",NA,"Not available because sample size is one.","technical",15,1,0.0120875918748718,"LOD",NA,"technical",3,"ng/g","0.01208759187","0.03626277562","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E154","Octopus","Bathypolypus arcticus","invertebrate",1924,"PFUnDA",11,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",57719,"C020","NA",15,1,"ng/g",1.88,"NA",NA,"Not available because sample size is one.","technical",15,1,1.59,"NA",NA,"technical",3,"ng/g","0.02340346342","0.07021039026","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E155","Octopus","Bathypolypus arcticus","invertebrate",1924,"PFTA",14,"NA","No","Boiling","water-based","NA",100,420,"Yes","No","NA",57719,"C020","NA",15,1,"ng/g",2.61,"NA",NA,"Not available because sample size is one.","technical",15,1,0.00719427809169912,"LOD",NA,"technical",3,"ng/g","0.007194278092","0.02158283428","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E156","Octopus","Bathypolypus arcticus","invertebrate",1924,"PFOS",8,"linear","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",57719,"C020","NA",15,1,"ng/g",0.508616305074018,"LOD",NA,"Not available because sample size is one.","technical",15,1,0.23,"NA",NA,"technical",3,"ng/g","0.5086163051","1.525848915","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E157","Red snapper","Lutjanus campechanus","vertebrate",921.23,"PFOS",8,"linear","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",27637,"C021","NA",19,1,"ng/g",1.46,"NA",NA,"Not available because sample size is one.","technical",19,1,0.21,"NA",NA,"technical",4,"ng/g","0.335745729","1.007237187","Shared control","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E158","Red snapper","Lutjanus campechanus","vertebrate",931.65,"PFOS",8,"linear","Yes","Frying","oil-based","NA",163,900,"No","Yes","sesame oil",63,"C021","NA",19,1,"ng/g",1.46,"NA",NA,"Not available because sample size is one.","technical",19,1,0.78,"NA",NA,"technical",4,"ng/g","0.2127077334","0.6381232001","Shared control","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E159","Sea squirt","Diplosoma listerianum","vertebrate",992.32,"PFOA",8,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",29770,"C022","NA",22,1,"ng/g",1.58,"NA",NA,"Not available because sample size is one.","technical",22,1,1.59,"NA",NA,"technical",3,"ng/g","0.03079926295","0.09239778884","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E160","Sea squirt","Diplosoma listerianum","vertebrate",992.32,"PFNA",9,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",29770,"C022","NA",22,1,"ng/g",1.32,"NA",NA,"Not available because sample size is one.","technical",22,1,0.96,"NA",NA,"technical",3,"ng/g","0.004661629686","0.01398488906","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E161","Skate","Amblyraja hyperborea","vertebrate",1992.57,"PFNA",9,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",59777,"C023","NA",14,1,"ng/g",1.09,"NA",NA,"Not available because sample size is one.","technical",14,1,0.00277091507063854,"LOD",NA,"technical",4,"ng/g","0.002770915071","0.008312745212","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E162","Skate","Amblyraja hyperborea","vertebrate",1992.57,"PFUnDA",11,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",59777,"C023","NA",14,1,"ng/g",1.55,"NA",NA,"Not available because sample size is one.","technical",14,1,1.35,"NA",NA,"technical",4,"ng/g","0.01203365344","0.03610096033","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E163","Skate","Amblyraja hyperborea","vertebrate",1992.57,"PFDoDA",12,"NA","No","Boiling","water-based","NA",100,420,"Yes","No","NA",59777,"C023","NA",14,1,"ng/g",1.33,"NA",NA,"Not available because sample size is one.","technical",14,1,0.0255728154259493,"LOD",NA,"technical",4,"ng/g","0.02557281543","0.07671844628","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E164","Skate","Amblyraja hyperborea","vertebrate",1992.57,"PFTeDA",14,"NA","No","Boiling","water-based","NA",100,420,"Yes","No","NA",59777,"C023","NA",14,1,"ng/g",0.67,"NA",NA,"Not available because sample size is one.","technical",14,1,0.00701743968244448,"LOD",NA,"technical",4,"ng/g","0.007017439682","0.02105231905","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E165","Skate","Amblyraja hyperborea","vertebrate",1992.57,"PFOS",8,"linear","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",59777,"C023","NA",14,1,"ng/g",1.51,"NA",NA,"Not available because sample size is one.","technical",14,1,0.88,"NA",NA,"technical",4,"ng/g","0.3642166626","1.092649988","Dependent","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E166","Yellow croaker","Larimichthys polyactis","vertebrate",794.4,"PFUnDA",11,"NA","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",23832,"C024","NA",35,1,"ng/g",1.57,"NA",NA,"Not available because sample size is one.","technical",35,1,0.0179042064989941,"LOD",NA,"technical",4,"ng/g","0.0179042065","0.0537126195","Shared control","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E167","Yellow croaker","Larimichthys polyactis","vertebrate",794.4,"PFOS",8,"linear","Yes","Boiling","water-based","NA",100,420,"Yes","No","NA",23832,"C024","NA",35,1,"ng/g",1.68,"NA",NA,"Not available because sample size is one.","technical",35,1,0.89,"NA",NA,"technical",4,"ng/g","0.3768854178","1.130656253","Shared control","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E168","Yellow croaker","Larimichthys polyactis","vertebrate",797.5,"PFUnDA",11,"NA","Yes","Frying","oil-based","NA",163,900,"No","Yes","sesame oil",50,"C025","NA",35,1,"ng/g",1.57,"NA",NA,"Not available because sample size is one.","technical",35,1,2.11,"NA",NA,"technical",4,"ng/g","0.0165860278","0.04975808341","Shared control","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F005","DelGobbo_2008",2008,"Canada","E169","Yellow croaker","Larimichthys polyactis","vertebrate",797.5,"PFOS",8,"linear","Yes","Frying","oil-based","NA",163,900,"No","Yes","sesame oil",50,"C025","NA",35,1,"ng/g",1.68,"NA",NA,"Not available because sample size is one.","technical",35,1,0.68,"NA",NA,"technical",4,"ng/g","0.3921755285","1.176526586","Shared control","Table 3","Yes","Authors replied; scientific names of seafood species were not provided, therefore we assumed the most common local species",NA
"F006","Hu_2020",2020,"China","E170","Grass carp","Ctenopharyngodon idell","vertebrate",NA,"PFBA",3,NA,"No","Steaming","water-based","on a stainless-steel plate in a steamer",100,480,"Yes","No","NA",NA,"C026","NA",5,5,"ng/g",6.96194225721785,"NA",7.41939072899355,"sd","biological",5,5,5.34120734908137,"NA",1.68892530218761,"biological",NA,"ng/g","Not provided","12.2","Shared control","Figure 3","No","We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.","ML"
"F006","Hu_2020",2020,"China","E171","Grass carp","Ctenopharyngodon idell","vertebrate",NA,"PFOA",8,NA,"Yes","Steaming","water-based","on a stainless-steel plate in a steamer",100,480,"Yes","No","NA",NA,"C026","NA",5,5,"ng/g",0.20984100877193,"NA",0.156033190207131,"sd","biological",5,5,0.267406798245614,"NA",0.0800583599500344,"biological",NA,"ng/g","Not provided","0.226","Shared control","Figure 3","No","We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.",NA
"F006","Hu_2020",2020,"China","E172","Grass carp","Ctenopharyngodon idell","vertebrate",NA,"PFBS",4,NA,"Yes","Steaming","water-based","on a stainless-steel plate in a steamer",100,480,"Yes","No","NA",NA,"C026","NA",5,5,"ng/g",24.8753462603878,"NA",23.9889753390534,"sd","biological",5,5,23.9801207743026,"NA",26.8453689779737,"biological",NA,"ng/g","Not provided","1.01","Shared control","Figure 3","No","We used meta-digitize to get effect sizes, and used boxplot-option to calculate sd, also we assumed that individual fish were not pooled, but each fish was measured individually, we also assumed that the sd provided was biological.",NA
